Name,City,Rating,Price Range,Number of Reviews,Filtered Cuisines
Martine of Martine's Table,Amsterdam,5.0,33.0,136.0,['French']
La Rive,Amsterdam,4.5,64.0,567.0,['French']
Vinkeles,Amsterdam,5.0,68.0,564.0,['French']
Zaza's,Amsterdam,4.5,37.0,1455.0,['French']
Teppanyaki Restaurant Sazanka,Amsterdam,4.5,60.0,923.0,['Japanese']
The Happy Bull,Amsterdam,4.5,33.0,295.0,['American']
Gartine,Amsterdam,4.5,34.0,967.0,['French']
Restaurant Adam,Amsterdam,4.5,65.0,368.0,['French']
Restaurant Daalder,Amsterdam,4.5,60.0,1246.0,['French']
Brasserie Ambassade,Amsterdam,4.5,60.0,958.0,['French']
Sherpa Restaurant,Amsterdam,4.5,37.0,426.0,['Indian']
La Maschera Lillotatini,Amsterdam,4.5,38.0,421.0,['Italian']
MOS Amsterdam,Amsterdam,4.5,69.0,239.0,['French']
Bord'Eau,Amsterdam,4.5,66.0,666.0,['French']
Brasserie SenT,Amsterdam,4.5,35.0,646.0,['French']
Lombardo's,Amsterdam,4.5,30.0,2052.0,['American']
Midtown Grill,Amsterdam,4.5,67.0,1181.0,['American']
Eatmosfera Ristorante,Amsterdam,4.5,31.0,973.0,['Italian']
Bussia,Amsterdam,4.5,64.0,959.0,['Italian']
Ashoka Restaurant,Amsterdam,4.5,38.0,718.0,['Indian']
Piadina Bar,Amsterdam,4.5,16.0,508.0,['Italian']
De Struisvogel,Amsterdam,4.5,33.0,517.0,['French']
Restaurant Johannes,Amsterdam,4.5,64.0,1065.0,['French']
La Zoccola del Pacioccone Pizzeria,Amsterdam,4.5,32.0,1098.0,['Italian']
Sugo Amsterdam,Amsterdam,4.5,16.0,445.0,['Italian']
Burger Bar,Amsterdam,4.5,15.0,748.0,['American']
Restaurant BREDA,Amsterdam,4.5,34.0,331.0,['French']
Taj Indian,Amsterdam,4.5,36.0,1415.0,['Indian']
Bistrot Neuf Amsterdam,Amsterdam,4.5,37.0,546.0,['French']
Bagels & Beans,Amsterdam,4.5,17.0,1294.0,['American']
Cafe Piazza,Amsterdam,4.5,35.0,681.0,['Italian']
De Belhamel,Amsterdam,4.5,68.0,1170.0,['French']
Burger Bar,Amsterdam,4.5,12.0,1379.0,['American']
Ava Cyril,Amsterdam,4.5,37.0,377.0,['Italian']
Koh-i-Noor,Amsterdam,4.5,31.0,1654.0,['Indian']
Cannibale Royale,Amsterdam,4.5,38.0,888.0,['American']
Cafe de Klos,Amsterdam,4.5,39.0,1833.0,['American']
Van Speyk,Amsterdam,4.5,30.0,1129.0,['French']
